2016-01-20,6.22
2016-01-20,-0.58
2016-01-20,-0.83
2016-01-20,2.91
2016-01-21,-0.52
2016-01-21,6.34
2016-01-21,-0.59
2016-01-21,-0.83
2016-01-21,2.96
2016-01-22,-0.49
2016-01-22,6.15
2016-01-22,-0.59
2016-01-22,-0.83
2016-01-22,2.87
2016-01-25,-0.51
2016-01-25,6.16
2016-01-25,-0.59
2016-01-25,-0.82
2016-01-25,2.79
2016-01-26,-0.49
2016-01-26,6.13
2016-01-26,-0.58
2016-01-26,-0.83
2016-01-26,2.71
2016-01-27,-0.52
2016-01-27,6.49
2016-01-27,-0.57
2016-01-27,-0.83
2016-01-27,2.67
2016-01-28,-0.5
2016-01-28,6.77
2016-01-28,-0.59
2016-01-28,-0.83
2016-01-28,2.64
2016-01-29,-0.49
2016-01-29,6.63
2016-01-29,-0.58
2016-01-29,-0.82
2016-01-29,2.47
2016-02-01,-0.5
2016-02-01,6.8
2016-02-01,-0.58
2016-02-01,-0.82
2016-02-01,2.6
2016-02-02,-0.52
2016-02-02,7.09
2016-02-02,-0.61
2016-02-02,-0.82
2016-02-02,2.45
2016-02-03,-0.47
2016-02-03,6.54
2016-02-03,-0.58
2016-02-03,-0.83
2016-02-03,2.33
2016-02-04,-0.44
2016-02-04,6.33
2016-02-04,-0.56
2016-02-04,-0.83
2016-02-04,2.37
2016-02-05,-0.46
2016-02-05,6.27
2016-02-05,-0.55
2016-02-05,-0.84
2016-02-05,2.24
2016-02-08,-0.42
2016-02-08,6.19
2016-02-08,-0.57
2016-02-08,-0.83
2016-02-08,2.0
2016-02-09,-0.36
2016-02-09,6.14
2016-02-09,-0.57
2016-02-09,-0.83
2016-02-09,2.01
2016-02-10,-0.36
2016-02-10,6.26
2016-02-10,-0.56
2016-02-10,-0.83
2016-02-10,1.89
2016-02-11,-0.35
2016-02-11,6.29
2016-02-11,-0.57
2016-02-11,-0.83
2016-02-11,2.03
2016-02-12,-0.38
2016-02-12,6.26
2016-02-12,-0.55
2016-02-12,-0.84
2016-02-12,1.99
2016-02-16,-0.36
2016-02-16,6.15
2016-02-16,-0.54
2016-02-16,-0.84
2016-02-16,2.04
2016-02-17,-0.37
2016-02-17,6.22
2016-02-17,-0.55
2016-02-17,-0.84
2016-02-17,2.22
2016-02-18,-0.43
2016-02-18,6.24
